Date,Men_Employment,Women_Employment,Prime_Age_Employment,Men_Unemployment,Women_Unemployment,Men_Participation,Women_Participation,Employment_Gap,Participation_Gap,Unemployment_Gap,Men_Employment_MoM_%,Women_Employment_MoM_%,Prime_Age_Employment_MoM_%,Participation_Driver_Index,Unemployment_Driver_Index
2024-01-01,85037.0,76096.0,103473.0,4.0,3.4,67.9,57.4,8941.0,10.500000000000007,0.6000000000000001,,,,10.500000000000007,-0.6000000000000001
2024-02-01,85118.0,75965.0,103700.0,3.9,3.9,67.8,57.6,9153.0,10.199999999999996,0.0,0.09525265472676292,-0.17215096719932488,0.21938090129791643,10.199999999999996,-0.0
2024-03-01,85497.0,75965.0,103641.0,3.8,3.9,68.1,57.6,9532.0,10.499999999999993,-0.10000000000000009,0.4452642214337832,0.0,-0.056894889103187296,10.499999999999993,0.10000000000000009
2024-04-01,85198.0,76239.0,103775.0,3.9,3.8,67.9,57.7,8959.0,10.200000000000003,0.10000000000000009,-0.3497198732119289,0.36069242414269453,0.12929246147759255,10.200000000000003,-0.10000000000000009
2024-05-01,84979.0,76201.0,103916.0,4.2,3.7,67.8,57.6,8778.0,10.199999999999996,0.5,-0.25704828751849096,-0.04984325607628737,0.13587087448807544,10.199999999999996,-0.5
2024-06-01,85443.0,75709.0,103835.0,4.1,4.0,68.1,57.4,9734.0,10.699999999999996,0.09999999999999964,0.5460172513209072,-0.6456608180995027,-0.07794757303976052,10.699999999999996,-0.09999999999999964
2024-07-01,85394.0,75903.0,104134.0,4.3,4.1,68.1,57.5,9491.0,10.599999999999994,0.20000000000000018,-0.05734817363622913,0.2562443038476303,0.28795685462512655,10.599999999999994,-0.20000000000000018
2024-08-01,85032.0,76396.0,104101.0,4.3,4.1,67.8,57.8,8636.0,10.0,0.20000000000000018,-0.42391737124387596,0.6495131944718846,-0.03168993796454078,10.0,-0.20000000000000018
2024-09-01,85562.0,76251.0,104164.0,4.2,3.9,68.1,57.5,9311.0,10.599999999999994,0.30000000000000027,0.6232947596199079,-0.18980051311586754,0.060518150642163704,10.599999999999994,-0.30000000000000027
2024-10-01,85590.0,75854.0,103808.0,4.2,4.0,68.1,57.3,9736.0,10.799999999999997,0.20000000000000018,0.03272480774174635,-0.5206489095225031,-0.34176874927998036,10.799999999999997,-0.20000000000000018
2024-11-01,85329.0,75830.0,103652.0,4.3,4.1,67.9,57.3,9499.0,10.600000000000009,0.20000000000000018,-0.3049421661409091,-0.031639728952992385,-0.1502774352651004,10.600000000000009,-0.20000000000000018
2024-12-01,85593.0,75993.0,103772.0,4.2,4.1,67.9,57.3,9600.0,10.600000000000009,0.10000000000000053,0.3093907112470484,0.2149545034946687,0.11577200632886253,10.600000000000009,-0.10000000000000053
2025-01-01,86700.0,77131.0,105496.0,4.1,4.0,68.0,57.5,9569.0,10.5,0.09999999999999964,1.2933300620377786,1.4975063492690177,1.6613344640172611,10.5,-0.09999999999999964
2025-02-01,86269.0,77068.0,105380.0,4.2,4.1,67.7,57.5,9201.0,10.200000000000003,0.10000000000000053,-0.49711649365629107,-0.081679221065456,-0.10995677561234096,10.200000000000003,-0.10000000000000053
2025-03-01,86457.0,77052.0,105292.0,4.3,4.1,67.8,57.4,9405.0,10.399999999999999,0.20000000000000018,0.217923008264842,-0.020760886489856745,-0.08350730688935215,10.399999999999999,-0.20000000000000018
2025-04-01,86691.0,77208.0,105593.0,4.4,4.0,68.0,57.5,9483.0,10.5,0.40000000000000036,0.2706547763628109,0.20246067590719008,0.2858716711620968,10.5,-0.40000000000000036
2025-05-01,86473.0,76771.0,105411.0,4.3,4.2,67.8,57.2,9702.0,10.599999999999994,0.09999999999999964,-0.25146785710166153,-0.5660035229509863,-0.17235991022132024,10.599999999999994,-0.09999999999999964
2025-06-01,86558.0,76769.0,105837.0,4.3,3.9,67.8,57.0,9789.0,10.799999999999997,0.3999999999999999,0.09829657812265857,-0.002605150382306576,0.40413239604975004,10.799999999999997,-0.3999999999999999
2025-07-01,86375.0,76765.0,105453.0,4.4,4.1,67.7,57.1,9610.0,10.600000000000001,0.3000000000000007,-0.21141893296979797,-0.005210436504321514,-0.3628220754556488,10.600000000000001,-0.3000000000000007
2025-08-01,86834.0,76536.0,105868.0,4.4,4.3,67.9,57.0,10298.0,10.900000000000006,0.10000000000000053,0.5314037626628076,-0.29831303328339276,0.3935402501588303,10.900000000000006,-0.10000000000000053
2025-09-01,86652.0,77004.0,105879.0,4.4,4.4,67.8,57.4,9648.0,10.399999999999999,0.0,-0.20959531980561108,0.6114769520225716,0.010390297351414723,10.399999999999999,-0.0
2025-10-01,,,,,,,,,,,0.0,0.0,0.0,,
2025-11-01,86616.0,77144.0,105852.0,4.5,4.5,67.7,57.4,9472.0,10.300000000000004,0.0,-0.041545492314087884,0.18180873720845536,-0.025500807525569158,10.300000000000004,-0.0
2025-12-01,86812.0,77180.0,106087.0,4.4,4.4,67.7,57.3,9632.0,10.400000000000006,0.0,0.22628613651056728,0.0466659753188825,0.22200808676264838,10.400000000000006,-0.0
2026-01-01,85348.0,77749.0,105063.0,4.3,4.3,67.3,57.2,7599.0,10.099999999999994,0.0,-1.6864028014560217,0.7372376263280689,-0.9652455060469189,10.099999999999994,-0.0
2026-02-01,85210.0,77702.0,104909.0,4.4,4.5,67.2,57.2,7508.0,10.0,-0.09999999999999964,-0.16169095936635625,-0.060450938275735666,-0.14657871943500878,10.0,0.09999999999999964
2026-03-01,85111.0,77737.0,105007.0,4.2,4.3,67.0,57.1,7374.0,9.899999999999999,-0.09999999999999964,-0.11618354653210039,0.04504388561425987,0.09341429238673982,9.899999999999999,0.09999999999999964
